original,new
Bunun,Bunun
Bajo,Bajo
TagbanwaAborlan_D,Tagbanwa Aborlan
Cebuano,Cebuano
AklanonBisayan,Aklanon Bisayan
Hanunoo,Hanunoo
WBukidnonManobo,Bukidnon Manobo
SubanunSindangan,Subanun Sindangan
Yami,Yami
KankanayNorthern,Northern Kankanay
IfugaoBatad,Ifugao Batad
KalingaGuinaangLubuagan_D,Kalinga Guinaang Lubuagan
MerinaMalagasy,Merina Malagasy
Makassar,Makassar
TaeSToraja,TaeS Toraja
RotiTermanu_D,Roti Termanu
Waropen,Waropen
Rotuman,Rotuman
Futuna,Futuna
Niue,Niue
Tongan,Tongan
Samoan,Samoan
Tokelau,Tokelau
Tuvalu,Tuvalu
Rarotongan,Rarotongan
Penrhyn,Penrhyn
Hawaiian,Hawaiian
TahitianModern,Tahitian
Maori,Maori
Marquesan,Marquesan
Mangareva,Mangareva
RapanuiEasterIsland,Rapanui
Luangiua,Luangiua
Kapingamarangi,Kapingamarangi
Tikopia,Tikopia
Rennellese,Rennellese
SyeErromangan,Sye Erromangan
TannaSouthwest,SW Tanna
Mota,Mota
Nahavaq,Nahavaq
Dehu,Dehu
Kiribati,Kiribati
SaipanCarolinian,Saipan Carolinian
Mortlockese,Mortlockese
ChuukeseAKATrukese,Chuukese
Woleai,Woleai
Marshallese,Marshallese
MarshalleseE_D,Marshallese
Kusaie,Kusaie
Ponapean,Ponapean
Saa,Saa
Kwaio,Kwaio
Lau,Lau
VaghuaChoiseul,Vaghua Choiseul
Simbo,Simbo
Vitu,Vitu
Wogeo,Wogeo
Manam,Manam
Molima,Molima
Dobuan,Dobuan
Suau,Suau
Kilivila,Kilivila
Mekeo,Mekeo
Motu,Motu
Lakalai,Lakalai
Selaru,Selaru
Kodi,Kodi
Palauan,Palauan
Chamorro,Chamorro
Iban,Iban
Melayu,Melayu
Minangkabau,Minangkabau
OldJavanese,Old Javanese
TobaBatak,Toba Batak
PhanRangChamEasternCham,Eastern Cham
Paiwan,Paiwan
Puyuma,Puyuma
CentralAmis,Central Amis
CiuliAtayal,Ciuli Atayal